data_type,material_type,year,month,type,month_current,month_prior_year,ytd_current,ytd_prior_year
Pounds of Materials Used,Grain Products,2010,2,Wheat and wheat products,1683401,1142813,3097736,2016527
Pounds of Materials Used,Total Grain products,2010,2,Total Grain products,420639347,465066900,872484503,952570569
Pounds of Materials Used,Non-Grain Products,2010,2,Sugar and syrups,46718854,69375203,94027212,137209772
Pounds of Materials Used,Non-Grain Products,2010,2,Hops (dry),4899463,4601598,9666186,6062839
Pounds of Materials Used,Non-Grain Products,2010,2,Hops (used as extracts),268589,345975,539994,670472
Pounds of Materials Used,Non-Grain Products,2010,2,Other,9022834,939857,19560576,2363858
Pounds of Materials Used,Total Non-Grain products,2010,2,Total Non-Grain products,60909740,75262633,123793968,146306941
Pounds of Materials Used,Total Used,2010,2,Total Used,481549087,540329533,996278471,1098877510
Pounds of Materials Used,Grain Products,2010,3,Malt and malt products,366733254,380133298,1002631806,1080736584
Pounds of Materials Used,Grain Products,2010,3,Corn and corn products,60991969,66543131,172184127,190625839
Pounds of Materials Used,Grain Products,2010,3,Rice and rice products,59991160,64006735,174893727,184963333
Pounds of Materials Used,Grain Products,2010,3,Barley and barley products,10220654,7094005,18078778,13145280
Pounds of Materials Used,Grain Products,2010,3,Wheat and wheat products,2762670,2175247,5938978,4210721
Pounds of Materials Used,Total Grain products,2010,3,Total Grain products,500699707,519952416,1373727416,1473681757
Pounds of Materials Used,Non-Grain Products,2010,3,Sugar and syrups,61007512,70030415,155034724,207294067
Pounds of Materials Used,Non-Grain Products,2010,3,Hops (dry),7932387,6787391,17604871,12853191
Pounds of Materials Used,Non-Grain Products,2010,3,Hops (used as extracts),320406,382897,860400,1053577
Pounds of Materials Used,Non-Grain Products,2010,3,Other,11678127,6604657,31238829,8974660
Pounds of Materials Used,Total Non-Grain products,2010,3,Total Non-Grain products,80938432,83805360,204738824,230175495
Pounds of Materials Used,Total Used,2010,3,Total Used,581638139,603757776,1578466240,1703857252
Pounds of Materials Used,Grain Products,2010,4,Malt and malt products,374018118,384396702,1376649924,1465133286
Pounds of Materials Used,Grain Products,2010,4,Corn and corn products,61273430,67266636,233457557,257892475
Pounds of Materials Used,Grain Products,2010,4,Rice and rice products,59803024,63166930,234696751,248130263
Pounds of Materials Used,Grain Products,2010,4,Barley and barley products,5030962,3349556,23109740,16494836
Pounds of Materials Used,Grain Products,2010,4,Wheat and wheat products,2247616,1569606,8186594,5780327
Pounds of Materials Used,Total Grain products,2010,4,Total Grain products,502373150,519749430,1876100566,1993431187
Pounds of Materials Used,Non-Grain Products,2010,4,Sugar and syrups,73040421,71341108,228075145,278635175
Pounds of Materials Used,Non-Grain Products,2010,4,Hops (dry),8240399,5574889,25845270,18428080
Pounds of Materials Used,Non-Grain Products,2010,4,Hops (used as extracts),456519,388369,1316919,1441946
Pounds of Materials Used,Non-Grain Products,2010,4,Other,11213037,6169478,42451866,15144138
Pounds of Materials Used,Total Non-Grain products,2010,4,Total Non-Grain products,92950376,83473844,297689200,313649339
Pounds of Materials Used,Total Used,2010,4,Total Used,595323526,603223274,2173789766,2307080526
Pounds of Materials Used,Grain Products,2010,5,Malt and malt products,399504457,391469434,1776283019,1856668052
Pounds of Materials Used,Grain Products,2010,5,Corn and corn products,62684555,62481084,296142112,320373559
Pounds of Materials Used,Grain Products,2010,5,Rice and rice products,69284131,67120251,303980882,315250514
Pounds of Materials Used,Grain Products,2010,5,Barley and barley products,4903020,3684818,28012760,20180000
Pounds of Materials Used,Grain Products,2010,5,Wheat and wheat products,2264521,1712205,10455915,7492532
Pounds of Materials Used,Total Grain products,2010,5,Total Grain products,538640684,526467792,2414874688,2519964657
Pounds of Materials Used,Non-Grain Products,2010,5,Sugar and syrups,76115769,75011893,304191444,353647068
Pounds of Materials Used,Non-Grain Products,2010,5,Hops (dry),9080801,7051829,34927873,25480154
Pounds of Materials Used,Non-Grain Products,2010,5,Hops (used as extracts),396737,450264,1713656,1892210
Pounds of Materials Used,Non-Grain Products,2010,5,Other,11525375,6915331,53977391,22059123
Pounds of Materials Used,Total Non-Grain products,2010,5,Total Non-Grain products,97118682,89429317,394810364,403078555
Pounds of Materials Used,Total Used,2010,5,Total Used,635759366,615897109,2809685052,2923043212
Pounds of Materials Used,Grain Products,2010,6,Malt and malt products,380521275,381247341,2156804294,2242117420
Pounds of Materials Used,Grain Products,2010,6,Corn and corn products,60811086,62107546,356953198,382481467
Pounds of Materials Used,Grain Products,2010,6,Rice and rice products,66627541,64576127,370610846,381522344
Pounds of Materials Used,Grain Products,2010,6,Barley and barley products,11280602,8146509,39293362,28472349
